candidate_id,Проблема,Тип_проблемы,Complexity_score,Частота_упоминаний,Количество_субъектов,Количество_действий,Количество_связей,Плотность_подграфа,Территории,Проблемные_признаки,Ключевые_сущности,Действия,Подтверждающие_обращения
kp_0038,освещение: аварийное состояние,безопасность,0.211,3,2,5,7,1.0,работает освещение в 3м; том что 90,аварийное состояние,освещение; жители; подрядчик; аварийное состояние; работает освещение в 3м; том что 90; безопасность,не работает; опасно; повреждено; отсутствует; затоплено,3
kp_0039,подъезд: бездействие исполнителя,жилищно-коммунальное,0.211,2,2,6,6,1.0,ярослава гашека лом 12/100; мини трактор через 10,бездействие исполнителя,подъезд; управляющая компания; жители; бездействие исполнителя; ярослава гашека лом 12/100; мини трактор через 10; жилищно-коммунальное,не убирает; не устраняет; загрязнено; задержано; повреждено; отсутствует,2
kp_0040,социальное обслуживание и защита,социальное обслуживание и защита,0.211,8,2,3,14,0.345588,на самых незащищенных 3; список на 2021; младшей 3; выплаты как малоимущие 2; наши дети достигшие 18,проблемный сигнал,социальное обслуживание и защита; жители; управляющая компания; проблемный сигнал; на самых незащищенных 3; список на 2021; младшей 3; выплаты как малоимущие 2; наши дети достигшие 18,задержано; сообщает о проблеме; отсутствует,8
kp_0041,водоснабжение: бездействие исполнителя,жилищно-коммунальное,0.209,2,3,3,10,1.0,декабря 21г; от дома 13,бездействие исполнителя,водоснабжение; жители; управляющая компания; администрация; бездействие исполнителя; декабря 21г; от дома 13; жилищно-коммунальное,не устраняет; затоплено; задержано,2
kp_0042,подъезд: нарушение содержания территории,жилищно-коммунальное,0.208,2,2,6,7,1.0,ярослава гашека лом 12/100,нарушение содержания территории,подъезд; управляющая компания; жители; нарушение содержания территории; ярослава гашека лом 12/100; жилищно-коммунальное,не убирает; не устраняет; загрязнено; задержано; опасно; затоплено,2
kp_0043,дорога: техническая неисправность,инфраструктура,0.207,3,2,5,7,1.0,на поверхности больше 30,техническая неисправность,дорога; управляющая компания; жители; техническая неисправность; на поверхности больше 30; инфраструктура,не работает; не убирает; отсутствует; повреждено; задержано,3
kp_0044,освещение: затопление/протечка,безопасность,0.207,2,2,5,6,1.0,заявки на 004; работает освещение в 3м,затопление/протечка,освещение; жители; подрядчик; затопление/протечка; заявки на 004; работает освещение в 3м; безопасность,затоплено; не убирает; не устраняет; не работает; опасно,2
kp_0045,освещение,безопасность,0.207,7,1,2,7,0.621795,долгах свыше 500; по гост 52289-2019,проблемный сигнал,освещение; жители; проблемный сигнал; долгах свыше 500; по гост 52289-2019; безопасность,сообщает о проблеме; отсутствует,7
kp_0046,тротуар: бездействие исполнителя,инфраструктура,0.205,3,2,4,5,1.0,ул летчика лихолетова 14/2; от дома 13,бездействие исполнителя,тротуар; управляющая компания; жители; бездействие исполнителя; ул летчика лихолетова 14/2; от дома 13; инфраструктура,не устраняет; не убирает; затоплено; задержано,3
kp_0047,тротуар: затопление/протечка,инфраструктура,0.205,3,2,4,5,1.0,ул летчика лихолетова 14/2; от дома 13,затопление/протечка,тротуар; управляющая компания; жители; затопление/протечка; ул летчика лихолетова 14/2; от дома 13; инфраструктура,затоплено; не убирает; задержано; не устраняет,3
