Узел,Тип,Degree,In_Degree,Out_Degree,Betweenness,Степень
appeal_000022,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
спасть на протяжении 2,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
напротив дома ильюшина 2,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
она была после 10,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
утром в 9,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
appeal_000333,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
на газоне больше 1,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
appeal_000335,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000460,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000435,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000437,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
федеральной льготе онкобольная 4ст,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
преклонный возраст 85,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
го декабря 2021,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
по гост 52289-2019,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
срок до 23,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
подъезд 4,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
appeal_000326,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000325,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000126,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000030,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
переполнена почти в 2,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
дублирование его автобусами 1,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
appeal_000028,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000274,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000338,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
проспект героев дом 24 корпус 2,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
уже 40,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
дольщица 2,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
младшей 3,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
appeal_000160,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
отношении ооо жкс 2,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
appeal_000324,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000346,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
том что 90,territory,0.005201560468140442,0.005201560468140442,0.0,0.0,4
appeal_000349,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000348,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000255,appeal,0.005201560468140442,0.0,0.005201560468140442,0.0,4
appeal_000195,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000198,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000131,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000294,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000134,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000080,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000150,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000130,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000489,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000147,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000041,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000121,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000136,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000193,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000192,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000189,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000201,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000129,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000221,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000220,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000059,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000113,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000214,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
appeal_000210,appeal,0.0039011703511053317,0.0,0.0039011703511053317,0.0,3
